x,A(x),B(x),alpa(x),beta(x),A(x),B(x),alpa(x),beta(x)
0,-4.854513814,0.021401357,-0.123429867,0.062285470,-5.095384592,0.021134486,-0.106796734,0.027898477
1,-7.416408075,0.018698978,0.041589037,-0.045501608,-7.572558191,0.019169576,0.066036702,-0.005995380
2,-7.872629175,0.019988772,0.082908728,-0.004790395,-8.115251749,0.020005929,0.020225934,-0.003470595
3,-8.106919482,0.021238101,0.037222458,-0.018113734,-8.359609710,0.020339056,-0.017701941,-0.003574217
4,-8.305634968,0.022439864,-0.010594875,-0.020872383,-8.553501368,0.020593304,0.024406961,0.008487920
5,-8.402443717,0.022900772,0.035396585,0.004091624,-8.684405817,0.020915551,-0.044899983,-0.001698267
6,-8.485696917,0.023000813,-0.014791543,-0.015995762,-8.747095790,0.020278787,-0.084200117,0.006184791
7,-8.547634202,0.022983436,0.004221245,-0.005773917,-8.855006494,0.020493617,-0.051643342,-0.000035474
8,-8.584064455,0.021266194,-0.012880147,-0.024336715,-8.899546555,0.018467294,-0.072316500,-0.007356212
9,-8.631899435,0.020452143,-0.069807039,-0.028470191,-8.942838926,0.017787777,-0.030538173,0.002508543
10,-8.663993977,0.019790312,0.014254973,0.006190819,-8.960761534,0.016493461,-0.011983707,0.010884369
11,-8.602140684,0.018011498,-0.073324563,-0.029309510,-8.945835406,0.015192359,0.067381622,0.002187301
12,-8.525435356,0.016446286,-0.009428700,-0.001911835,-8.871753273,0.014609004,0.100107140,0.006783753
13,-8.401466649,0.015986882,-0.008723901,0.013835623,-8.787954154,0.013190747,0.109818699,0.002144432
14,-8.183292624,0.015086990,-0.130568020,0.008191036,-8.621070942,0.013417947,-0.022032636,0.008353772
15,-7.923374220,0.014888774,-0.184827924,-0.023497586,-8.409074083,0.013757027,-0.093864714,0.008064974
16,-7.539271118,0.015700624,-0.110659644,0.003410208,-8.209167390,0.014069740,-0.116235642,0.011632319
17,-7.259500250,0.015581930,-0.294356740,-0.015257150,-8.094526094,0.013580972,-0.176518811,0.010319859
18,-6.953753920,0.013650799,-0.453941929,-0.027116761,-7.937844651,0.012092145,-0.280728375,0.001438726
19,-6.888506126,0.013047872,-0.401415280,-0.010303221,-7.924944612,0.011312945,-0.263473540,0.007995417
20,-6.872598571,0.011933034,-0.409933308,-0.007501001,-7.933065461,0.011215342,-0.243898033,0.003424087
21,-6.867762463,0.011278407,-0.392733416,-0.009757875,-7.946534205,0.011107473,-0.204878968,0.007306089
22,-6.881323273,0.010575988,-0.427126022,-0.010415067,-7.948525450,0.010730690,-0.207468477,0.006321221
23,-6.893468989,0.009344589,-0.385506676,0.000169240,-7.941315037,0.010624692,-0.196808896,0.004578473
24,-6.914067413,0.008682319,-0.387724378,0.012388880,-7.925150269,0.010683452,-0.224242308,0.004086052
25,-6.916818394,0.008056558,-0.391094161,0.001097165,-7.891601564,0.010591151,-0.153092430,0.008301143
26,-6.909065783,0.007695420,-0.391304482,0.011785081,-7.847814633,0.009944141,-0.195339604,0.006722715
